tanggal,harga
2016-07-25,42250.0
2016-07-26,44750.0
2016-07-27,45000.0
2016-07-28,44500.0
2016-07-29,44750.0
2016-08-01,44750.0
2016-08-02,45900.0
2016-08-03,48500.0
2016-08-04,50750.0
2016-08-05,51900.0
2016-08-08,48500.0
2016-08-09,48500.0
2016-08-10,47250.0
2016-08-11,46500.0
2016-08-12,46500.0
2016-08-15,47750.0
2016-08-16,48750.0
2016-08-18,48750.0
2016-08-19,52000.0
2016-08-22,50000.0
2016-08-23,47900.0
2016-08-24,50000.0
2016-08-25,46500.0
2016-08-26,46650.0
2016-08-29,45400.0
2016-08-30,43750.0
2016-08-31,46000.0
2016-09-01,46400.0
2016-09-02,46500.0
2016-09-05,47000.0
2016-09-06,47000.0
2016-09-07,43650.0
2016-09-08,44400.0
2016-09-09,42750.0
2016-09-13,42750.0
2016-09-14,40500.0
2016-09-15,39650.0
2016-09-16,35000.0
2016-09-19,34450.0
2016-09-20,34450.0
2016-09-21,31900.0
2016-09-22,29650.0
2016-09-23,31250.0
2016-09-26,32900.0
2016-09-27,30750.0
2016-09-28,31650.0
2016-09-29,31000.0
2016-09-30,30250.0
2016-10-03,32750.0
2016-10-04,32500.0
2016-10-05,31350.0
2016-10-06,30350.0
2016-10-07,30250.0
2016-10-10,33000.0
2016-10-11,33000.0
2016-10-12,34750.0
2016-10-13,35000.0
2016-10-14,35750.0
2016-10-17,40500.0
2016-10-18,41150.0
2016-10-19,43250.0
2016-10-20,43500.0
2016-10-21,43500.0
2016-10-24,45000.0
2016-10-25,48650.0
2016-10-26,48150.0
2016-10-27,48500.0
2016-10-28,48250.0
2016-10-31,49750.0
2016-11-01,50000.0
2016-11-02,48250.0
2016-11-03,51500.0
2016-11-04,51250.0
2016-11-07,54750.0
2016-11-08,58500.0
2016-11-09,58750.0
2016-11-10,60250.0
2016-11-11,55250.0
2016-11-14,60250.0
2016-11-15,57000.0
2016-11-16,58000.0
2016-11-17,56000.0
2016-11-18,54500.0
2016-11-21,52750.0
2016-11-22,48500.0
2016-11-23,51750.0
2016-11-24,52650.0
2016-11-25,51250.0
2016-11-28,51500.0
2016-11-29,49000.0
2016-11-30,49000.0
2016-12-01,49500.0
2016-12-02,50000.0
2016-12-05,52750.0
2016-12-06,55750.0
2016-12-07,50500.0
2016-12-08,51000.0
2016-12-09,62500.0
2016-12-13,64000.0
2016-12-14,68000.0
2016-12-15,68500.0
2016-12-16,67900.0
2016-12-19,66500.0
2016-12-20,72000.0
2016-12-21,72250.0
2016-12-22,75000.0
2016-12-23,75000.0
2016-12-27,87250.0
2016-12-28,88250.0
2016-12-29,87400.0
2016-12-30,88750.0
2017-01-03,107150.0
2017-01-04,104650.0
2017-01-05,102500.0
2017-01-06,101500.0
2017-01-09,102500.0
2017-01-10,102500.0
2017-01-11,100000.0
2017-01-12,97500.0
2017-01-13,97500.0
2017-01-16,97500.0
2017-01-17,97500.0
2017-01-18,97500.0
2017-01-19,100000.0
2017-01-20,100000.0
